annee,tour,departement,departement_nom,nuance,famille_politique,inscrits,votants,abstentions,exprimes,voix,taux_participation,taux_abstention,pct_exprimes,pct_inscrits,ancien_midi_pyrenees,ancien_languedoc_roussillon,typologie
1993,1,32,Gers,GEC,Autres,137502,99923,37579,93071,2617,72.67,27.33,2.81,1.9,True,False,Rural
1993,1,32,Gers,DVD,Droite,137502,99923,37579,93071,1145,72.67,27.33,1.23,0.83,True,False,Rural
1993,1,34,Hérault,UDF,Autres,552587,383825,168762,363674,66022,69.46,30.54,18.15,11.95,False,True,Rural
1993,1,34,Hérault,RPR,Droite,552587,383825,168762,363674,62321,69.46,30.54,17.14,11.28,False,True,Rural
1993,1,34,Hérault,SOC,Autres,552587,383825,168762,363674,59582,69.46,30.54,16.38,10.78,False,True,Rural
1993,1,34,Hérault,FRN,Extrême droite,552587,383825,168762,363674,54010,69.46,30.54,14.85,9.77,False,True,Rural
1993,1,34,Hérault,COM,Autres,552587,383825,168762,363674,40817,69.46,30.54,11.22,7.39,False,True,Rural
1993,1,34,Hérault,MAJ,Autres,552587,383825,168762,363674,25024,69.46,30.54,6.88,4.53,False,True,Rural
1993,1,34,Hérault,GEC,Autres,552587,383825,168762,363674,19134,69.46,30.54,5.26,3.46,False,True,Rural
1993,1,34,Hérault,VEC,Écologie,552587,383825,168762,363674,12274,69.46,30.54,3.38,2.22,False,True,Rural
1993,1,34,Hérault,DIV,Autres,552587,383825,168762,363674,11134,69.46,30.54,3.06,2.01,False,True,Rural
1993,1,34,Hérault,DVD,Droite,552587,383825,168762,363674,5886,69.46,30.54,1.62,1.07,False,True,Rural
1993,1,34,Hérault,EXD,Autres,552587,383825,168762,363674,3046,69.46,30.54,0.84,0.55,False,True,Rural
1993,1,46,Lot,RPR,Droite,123760,93822,29938,87884,17386,75.81,24.19,19.78,14.05,True,False,Rural
1993,1,46,Lot,SOC,Autres,123760,93822,29938,87884,15858,75.81,24.19,18.04,12.81,True,False,Rural
1993,1,46,Lot,RDG,Autres,123760,93822,29938,87884,13635,75.81,24.19,15.51,11.02,True,False,Rural
1993,1,46,Lot,UDF,Autres,123760,93822,29938,87884,10132,75.81,24.19,11.53,8.19,True,False,Rural
1993,1,46,Lot,DVD,Droite,123760,93822,29938,87884,9761,75.81,24.19,11.11,7.89,True,False,Rural
1993,1,46,Lot,COM,Autres,123760,93822,29938,87884,6699,75.81,24.19,7.62,5.41,True,False,Rural
1993,1,46,Lot,FRN,Extrême droite,123760,93822,29938,87884,4752,75.81,24.19,5.41,3.84,True,False,Rural
1993,1,46,Lot,DIV,Autres,123760,93822,29938,87884,3682,75.81,24.19,4.19,2.98,True,False,Rural
1993,1,46,Lot,VEC,Écologie,123760,93822,29938,87884,3087,75.81,24.19,3.51,2.49,True,False,Rural
1993,1,46,Lot,GEC,Autres,123760,93822,29938,87884,2305,75.81,24.19,2.62,1.86,True,False,Rural
1993,1,48,Lozère,UDF,Autres,56920,43792,13128,41914,28209,76.94,23.06,67.3,49.56,False,True,Rural
1993,1,48,Lozère,SOC,Autres,56920,43792,13128,41914,5771,76.94,23.06,13.77,10.14,False,True,Rural
